Jurisdiction,Value,Race/ ethnicity,Year,Measure
Howard,9.1,All races/ethnicities (aggregated),2012-2014,Drug-induced death rate
Kent,,All races/ethnicities (aggregated),2012-2014,Drug-induced death rate
Montgomery,6.1,All races/ethnicities (aggregated),2012-2014,Drug-induced death rate
Prince George's,6.0,All races/ethnicities (aggregated),2012-2014,Drug-induced death rate
Queen Anne's,18.7,All races/ethnicities (aggregated),2012-2014,Drug-induced death rate
Saint Mary's,10.6,All races/ethnicities (aggregated),2012-2014,Drug-induced death rate
Somerset,,All races/ethnicities (aggregated),2012-2014,Drug-induced death rate
Talbot,,All races/ethnicities (aggregated),2012-2014,Drug-induced death rate
Washington,23.7,All races/ethnicities (aggregated),2012-2014,Drug-induced death rate
Wicomico,16.2,All races/ethnicities (aggregated),2012-2014,Drug-induced death rate
Worcester,15.6,All races/ethnicities (aggregated),2012-2014,Drug-induced death rate
State,12.7,Black Non-Hispanic,2012-2014,Drug-induced death rate
Allegany,,Black Non-Hispanic,2012-2014,Drug-induced death rate
Anne Arundel,,Black Non-Hispanic,2012-2014,Drug-induced death rate
Baltimore City,35.6,Black Non-Hispanic,2012-2014,Drug-induced death rate
Baltimore County,11.3,Black Non-Hispanic,2012-2014,Drug-induced death rate
Calvert,,Black Non-Hispanic,2012-2014,Drug-induced death rate
Caroline,,Black Non-Hispanic,2012-2014,Drug-induced death rate
Carroll,,Black Non-Hispanic,2012-2014,Drug-induced death rate
Cecil,,Black Non-Hispanic,2012-2014,Drug-induced death rate
Charles,,Black Non-Hispanic,2012-2014,Drug-induced death rate
Dorchester,,Black Non-Hispanic,2012-2014,Drug-induced death rate
Frederick,,Black Non-Hispanic,2012-2014,Drug-induced death rate
Garrett,,Black Non-Hispanic,2012-2014,Drug-induced death rate
Harford,,Black Non-Hispanic,2012-2014,Drug-induced death rate
Howard,,Black Non-Hispanic,2012-2014,Drug-induced death rate
Kent,,Black Non-Hispanic,2012-2014,Drug-induced death rate
Montgomery,4.9,Black Non-Hispanic,2012-2014,Drug-induced death rate
Prince George's,4.7,Black Non-Hispanic,2012-2014,Drug-induced death rate
Queen Anne's,,Black Non-Hispanic,2012-2014,Drug-induced death rate
Saint Mary's,,Black Non-Hispanic,2012-2014,Drug-induced death rate
Somerset,,Black Non-Hispanic,2012-2014,Drug-induced death rate
Talbot,,Black Non-Hispanic,2012-2014,Drug-induced death rate
Washington,,Black Non-Hispanic,2012-2014,Drug-induced death rate
Wicomico,,Black Non-Hispanic,2012-2014,Drug-induced death rate
Worcester,,Black Non-Hispanic,2012-2014,Drug-induced death rate
State,2.7,Hispanic,2012-2014,Drug-induced death rate
Allegany,,Hispanic,2012-2014,Drug-induced death rate
Anne Arundel,,Hispanic,2012-2014,Drug-induced death rate
Baltimore City,,Hispanic,2012-2014,Drug-induced death rate
Baltimore County,,Hispanic,2012-2014,Drug-induced death rate
Calvert,,Hispanic,2012-2014,Drug-induced death rate
Caroline,,Hispanic,2012-2014,Drug-induced death rate
Carroll,,Hispanic,2012-2014,Drug-induced death rate
Cecil,,Hispanic,2012-2014,Drug-induced death rate
Charles,,Hispanic,2012-2014,Drug-induced death rate
Dorchester,,Hispanic,2012-2014,Drug-induced death rate
Frederick,,Hispanic,2012-2014,Drug-induced death rate
Garrett,,Hispanic,2012-2014,Drug-induced death rate
Harford,,Hispanic,2012-2014,Drug-induced death rate
Howard,,Hispanic,2012-2014,Drug-induced death rate
Kent,,Hispanic,2012-2014,Drug-induced death rate
Montgomery,,Hispanic,2012-2014,Drug-induced death rate
Prince George's,,Hispanic,2012-2014,Drug-induced death rate
Queen Anne's,,Hispanic,2012-2014,Drug-induced death rate
Saint Mary's,,Hispanic,2012-2014,Drug-induced death rate
Somerset,,Hispanic,2012-2014,Drug-induced death rate
Talbot,,Hispanic,2012-2014,Drug-induced death rate
Washington,,Hispanic,2012-2014,Drug-induced death rate
Wicomico,,Hispanic,2012-2014,Drug-induced death rate
Worcester,,Hispanic,2012-2014,Drug-induced death rate
State,21.0,White Non-Hispanic,2012-2014,Drug-induced death rate
Allegany,21.9,White Non-Hispanic,2012-2014,Drug-induced death rate
Anne Arundel,23.0,White Non-Hispanic,2012-2014,Drug-induced death rate
Baltimore City,36.5,White Non-Hispanic,2012-2014,Drug-induced death rate
Baltimore County,28.8,White Non-Hispanic,2012-2014,Drug-induced death rate
Calvert,25.1,White Non-Hispanic,2012-2014,Drug-induced death rate
Caroline,31.8,White Non-Hispanic,2012-2014,Drug-induced death rate
Carroll,21.8,White Non-Hispanic,2012-2014,Drug-induced death rate
Cecil,31.5,White Non-Hispanic,2012-2014,Drug-induced death rate
Charles,19.6,White Non-Hispanic,2012-2014,Drug-induced death rate
Dorchester,,White Non-Hispanic,2012-2014,Drug-induced death rate
Frederick,18.8,White Non-Hispanic,2012-2014,Drug-induced death rate
Garrett,,White Non-Hispanic,2012-2014,Drug-induced death rate
Harford,22.1,White Non-Hispanic,2012-2014,Drug-induced death rate
Howard,13.8,White Non-Hispanic,2012-2014,Drug-induced death rate
Kent,,White Non-Hispanic,2012-2014,Drug-induced death rate
Montgomery,8.8,White Non-Hispanic,2012-2014,Drug-induced death rate
Prince George's,19.1,White Non-Hispanic,2012-2014,Drug-induced death rate
Queen Anne's,19.2,White Non-Hispanic,2012-2014,Drug-induced death rate
Saint Mary's,13.4,White Non-Hispanic,2012-2014,Drug-induced death rate
Somerset,,White Non-Hispanic,2012-2014,Drug-induced death rate
Talbot,,White Non-Hispanic,2012-2014,Drug-induced death rate
Washington,27.3,White Non-Hispanic,2012-2014,Drug-induced death rate
Wicomico,21.2,White Non-Hispanic,2012-2014,Drug-induced death rate
Worcester,19.9,White Non-Hispanic,2012-2014,Drug-induced death rate
State,1.9,Asian/ Pacific Islander Non-Hispanic,2012-2014,Drug-induced death rate
Allegany,,Asian/ Pacific Islander Non-Hispanic,2012-2014,Drug-induced death rate
Anne Arundel,,Asian/ Pacific Islander Non-Hispanic,2012-2014,Drug-induced death rate
Baltimore City,,Asian/ Pacific Islander Non-Hispanic,2012-2014,Drug-induced death rate
Baltimore County,,Asian/ Pacific Islander Non-Hispanic,2012-2014,Drug-induced death rate
Calvert,,Asian/ Pacific Islander Non-Hispanic,2012-2014,Drug-induced death rate
Caroline,,Asian/ Pacific Islander Non-Hispanic,2012-2014,Drug-induced death rate
Carroll,,Asian/ Pacific Islander Non-Hispanic,2012-2014,Drug-induced death rate
Cecil,,Asian/ Pacific Islander Non-Hispanic,2012-2014,Drug-induced death rate
Charles,,Asian/ Pacific Islander Non-Hispanic,2012-2014,Drug-induced death rate
Dorchester,,Asian/ Pacific Islander Non-Hispanic,2012-2014,Drug-induced death rate
Frederick,,Asian/ Pacific Islander Non-Hispanic,2012-2014,Drug-induced death rate
Garrett,,Asian/ Pacific Islander Non-Hispanic,2012-2014,Drug-induced death rate
Harford,,Asian/ Pacific Islander Non-Hispanic,2012-2014,Drug-induced death rate
Howard,,Asian/ Pacific Islander Non-Hispanic,2012-2014,Drug-induced death rate
Kent,,Asian/ Pacific Islander Non-Hispanic,2012-2014,Drug-induced death rate
Montgomery,,Asian/ Pacific Islander Non-Hispanic,2012-2014,Drug-induced death rate
Prince George's,,Asian/ Pacific Islander Non-Hispanic,2012-2014,Drug-induced death rate
Queen Anne's,,Asian/ Pacific Islander Non-Hispanic,2012-2014,Drug-induced death rate
Saint Mary's,,Asian/ Pacific Islander Non-Hispanic,2012-2014,Drug-induced death rate
Somerset,,Asian/ Pacific Islander Non-Hispanic,2012-2014,Drug-induced death rate
Talbot,,Asian/ Pacific Islander Non-Hispanic,2012-2014,Drug-induced death rate
Washington,,Asian/ Pacific Islander Non-Hispanic,2012-2014,Drug-induced death rate
Wicomico,,Asian/ Pacific Islander Non-Hispanic,2012-2014,Drug-induced death rate
Worcester,,Asian/ Pacific Islander Non-Hispanic,2012-2014,Drug-induced death rate
State,13.3,All races/ethnicities (aggregated),2011-2013,Drug-induced death rate
Allegany,19.8,All races/ethnicities (aggregated),2011-2013,Drug-induced death rate
Anne Arundel,15.3,All races/ethnicities (aggregated),2011-2013,Drug-induced death rate
Baltimore City,28.4,All races/ethnicities (aggregated),2011-2013,Drug-induced death rate
Baltimore County,17.8,All races/ethnicities (aggregated),2011-2013,Drug-induced death rate
Calvert,18.2,All races/ethnicities (aggregated),2011-2013,Drug-induced death rate
Caroline,29.4,All races/ethnicities (aggregated),2011-2013,Drug-induced death rate
Carroll,16.2,All races/ethnicities (aggregated),2011-2013,Drug-induced death rate
Cecil,26.5,All races/ethnicities (aggregated),2011-2013,Drug-induced death rate
Charles,10.4,All races/ethnicities (aggregated),2011-2013,Drug-induced death rate
Dorchester,,All races/ethnicities (aggregated),2011-2013,Drug-induced death rate
Frederick,13.9,All races/ethnicities (aggregated),2011-2013,Drug-induced death rate
Garrett,,All races/ethnicities (aggregated),2011-2013,Drug-induced death rate
Harford,17.9,All races/ethnicities (aggregated),2011-2013,Drug-induced death rate
Howard,9.8,All races/ethnicities (aggregated),2011-2013,Drug-induced death rate
Kent,,All races/ethnicities (aggregated),2011-2013,Drug-induced death rate
Montgomery,5.1,All races/ethnicities (aggregated),2011-2013,Drug-induced death rate
Prince George's,5.4,All races/ethnicities (aggregated),2011-2013,Drug-induced death rate
Queen Anne's,,All races/ethnicities (aggregated),2011-2013,Drug-induced death rate
Saint Mary's,9.5,All races/ethnicities (aggregated),2011-2013,Drug-induced death rate
Somerset,,All races/ethnicities (aggregated),2011-2013,Drug-induced death rate
Talbot,,All races/ethnicities (aggregated),2011-2013,Drug-induced death rate
Washington,18.1,All races/ethnicities (aggregated),2011-2013,Drug-induced death rate
Wicomico,15.0,All races/ethnicities (aggregated),2011-2013,Drug-induced death rate
Worcester,,All races/ethnicities (aggregated),2011-2013,Drug-induced death rate
State,9.9,Black Non-Hispanic,2011-2013,Drug-induced death rate
Allegany,,Black Non-Hispanic,2011-2013,Drug-induced death rate
Anne Arundel,,Black Non-Hispanic,2011-2013,Drug-induced death rate
Baltimore City,26.7,Black Non-Hispanic,2011-2013,Drug-induced death rate
Baltimore County,9.4,Black Non-Hispanic,2011-2013,Drug-induced death rate
Calvert,,Black Non-Hispanic,2011-2013,Drug-induced death rate
Caroline,,Black Non-Hispanic,2011-2013,Drug-induced death rate
Carroll,,Black Non-Hispanic,2011-2013,Drug-induced death rate
Cecil,,Black Non-Hispanic,2011-2013,Drug-induced death rate
Charles,,Black Non-Hispanic,2011-2013,Drug-induced death rate
Dorchester,,Black Non-Hispanic,2011-2013,Drug-induced death rate
Frederick,,Black Non-Hispanic,2011-2013,Drug-induced death rate
Garrett,,Black Non-Hispanic,2011-2013,Drug-induced death rate
Harford,,Black Non-Hispanic,2011-2013,Drug-induced death rate
Howard,,Black Non-Hispanic,2011-2013,Drug-induced death rate
Kent,,Black Non-Hispanic,2011-2013,Drug-induced death rate
Montgomery,4.4,Black Non-Hispanic,2011-2013,Drug-induced death rate
Prince George's,3.9,Black Non-Hispanic,2011-2013,Drug-induced death rate
Queen Anne's,,Black Non-Hispanic,2011-2013,Drug-induced death rate
Saint Mary's,,Black Non-Hispanic,2011-2013,Drug-induced death rate
Somerset,,Black Non-Hispanic,2011-2013,Drug-induced death rate
Talbot,,Black Non-Hispanic,2011-2013,Drug-induced death rate
Washington,,Black Non-Hispanic,2011-2013,Drug-induced death rate
Wicomico,,Black Non-Hispanic,2011-2013,Drug-induced death rate
Worcester,,Black Non-Hispanic,2011-2013,Drug-induced death rate
State,2.4,Hispanic,2011-2013,Drug-induced death rate
Allegany,,Hispanic,2011-2013,Drug-induced death rate
Anne Arundel,,Hispanic,2011-2013,Drug-induced death rate
Baltimore City,,Hispanic,2011-2013,Drug-induced death rate
Baltimore County,,Hispanic,2011-2013,Drug-induced death rate
Calvert,,Hispanic,2011-2013,Drug-induced death rate
Caroline,,Hispanic,2011-2013,Drug-induced death rate
Carroll,,Hispanic,2011-2013,Drug-induced death rate
Cecil,,Hispanic,2011-2013,Drug-induced death rate
Charles,,Hispanic,2011-2013,Drug-induced death rate
Dorchester,,Hispanic,2011-2013,Drug-induced death rate
Frederick,,Hispanic,2011-2013,Drug-induced death rate
Garrett,,Hispanic,2011-2013,Drug-induced death rate
Harford,,Hispanic,2011-2013,Drug-induced death rate
Howard,,Hispanic,2011-2013,Drug-induced death rate
Kent,,Hispanic,2011-2013,Drug-induced death rate
Montgomery,,Hispanic,2011-2013,Drug-induced death rate
Prince George's,,Hispanic,2011-2013,Drug-induced death rate
Queen Anne's,,Hispanic,2011-2013,Drug-induced death rate
Saint Mary's,,Hispanic,2011-2013,Drug-induced death rate
Somerset,,Hispanic,2011-2013,Drug-induced death rate
Talbot,,Hispanic,2011-2013,Drug-induced death rate
Washington,,Hispanic,2011-2013,Drug-induced death rate
Wicomico,,Hispanic,2011-2013,Drug-induced death rate
Worcester,,Hispanic,2011-2013,Drug-induced death rate
State,18.9,White Non-Hispanic,2011-2013,Drug-induced death rate
Allegany,23.1,White Non-Hispanic,2011-2013,Drug-induced death rate
Anne Arundel,20.3,White Non-Hispanic,2011-2013,Drug-induced death rate
Baltimore City,37.3,White Non-Hispanic,2011-2013,Drug-induced death rate
Baltimore County,25.1,White Non-Hispanic,2011-2013,Drug-induced death rate
Calvert,20.7,White Non-Hispanic,2011-2013,Drug-induced death rate
Caroline,35.4,White Non-Hispanic,2011-2013,Drug-induced death rate
Carroll,17.3,White Non-Hispanic,2011-2013,Drug-induced death rate
Cecil,29.8,White Non-Hispanic,2011-2013,Drug-induced death rate
Charles,17.9,White Non-Hispanic,2011-2013,Drug-induced death rate
Dorchester,,White Non-Hispanic,2011-2013,Drug-induced death rate
Frederick,17.5,White Non-Hispanic,2011-2013,Drug-induced death rate
Garrett,,White Non-Hispanic,2011-2013,Drug-induced death rate
Harford,20.9,White Non-Hispanic,2011-2013,Drug-induced death rate
Howard,14.3,White Non-Hispanic,2011-2013,Drug-induced death rate
Kent,,White Non-Hispanic,2011-2013,Drug-induced death rate
Montgomery,7.5,White Non-Hispanic,2011-2013,Drug-induced death rate
Prince George's,18.4,White Non-Hispanic,2011-2013,Drug-induced death rate
Queen Anne's,,White Non-Hispanic,2011-2013,Drug-induced death rate
Saint Mary's,11.5,White Non-Hispanic,2011-2013,Drug-induced death rate
Somerset,,White Non-Hispanic,2011-2013,Drug-induced death rate
Talbot,,White Non-Hispanic,2011-2013,Drug-induced death rate
Washington,21.0,White Non-Hispanic,2011-2013,Drug-induced death rate
Wicomico,21.1,White Non-Hispanic,2011-2013,Drug-induced death rate
Worcester,,White Non-Hispanic,2011-2013,Drug-induced death rate
State,1.8,Asian/ Pacific Islander Non-Hispanic,2011-2013,Drug-induced death rate
Allegany,,Asian/ Pacific Islander Non-Hispanic,2011-2013,Drug-induced death rate
Anne Arundel,,Asian/ Pacific Islander Non-Hispanic,2011-2013,Drug-induced death rate
Baltimore City,,Asian/ Pacific Islander Non-Hispanic,2011-2013,Drug-induced death rate
Baltimore County,,Asian/ Pacific Islander Non-Hispanic,2011-2013,Drug-induced death rate
Calvert,,Asian/ Pacific Islander Non-Hispanic,2011-2013,Drug-induced death rate
Caroline,,Asian/ Pacific Islander Non-Hispanic,2011-2013,Drug-induced death rate
Carroll,,Asian/ Pacific Islander Non-Hispanic,2011-2013,Drug-induced death rate
Cecil,,Asian/ Pacific Islander Non-Hispanic,2011-2013,Drug-induced death rate
Charles,,Asian/ Pacific Islander Non-Hispanic,2011-2013,Drug-induced death rate
Dorchester,,Asian/ Pacific Islander Non-Hispanic,2011-2013,Drug-induced death rate
Frederick,,Asian/ Pacific Islander Non-Hispanic,2011-2013,Drug-induced death rate
Garrett,,Asian/ Pacific Islander Non-Hispanic,2011-2013,Drug-induced death rate
Harford,,Asian/ Pacific Islander Non-Hispanic,2011-2013,Drug-induced death rate
Howard,,Asian/ Pacific Islander Non-Hispanic,2011-2013,Drug-induced death rate
Kent,,Asian/ Pacific Islander Non-Hispanic,2011-2013,Drug-induced death rate
Montgomery,,Asian/ Pacific Islander Non-Hispanic,2011-2013,Drug-induced death rate
Prince George's,,Asian/ Pacific Islander Non-Hispanic,2011-2013,Drug-induced death rate
Queen Anne's,,Asian/ Pacific Islander Non-Hispanic,2011-2013,Drug-induced death rate
Saint Mary's,,Asian/ Pacific Islander Non-Hispanic,2011-2013,Drug-induced death rate
Somerset,,Asian/ Pacific Islander Non-Hispanic,2011-2013,Drug-induced death rate
Talbot,,Asian/ Pacific Islander Non-Hispanic,2011-2013,Drug-induced death rate
Washington,,Asian/ Pacific Islander Non-Hispanic,2011-2013,Drug-induced death rate
Wicomico,,Asian/ Pacific Islander Non-Hispanic,2011-2013,Drug-induced death rate
Worcester,,Asian/ Pacific Islander Non-Hispanic,2011-2013,Drug-induced death rate
State,12.3,All races/ethnicities (aggregated),2010-2012,Drug-induced death rate
Allegany,17.8,All races/ethnicities (aggregated),2010-2012,Drug-induced death rate
Anne Arundel,13.7,All races/ethnicities (aggregated),2010-2012,Drug-induced death rate
Dorchester,,Hispanic,2010-2012,Drug-induced death rate
Baltimore City,25.8,All races/ethnicities (aggregated),2010-2012,Drug-induced death rate
Baltimore County,17.2,All races/ethnicities (aggregated),2010-2012,Drug-induced death rate
Calvert,14.7,All races/ethnicities (aggregated),2010-2012,Drug-induced death rate
Caroline,25.3,All races/ethnicities (aggregated),2010-2012,Drug-induced death rate
Carroll,13.1,All races/ethnicities (aggregated),2010-2012,Drug-induced death rate
Cecil,29.5,All races/ethnicities (aggregated),2010-2012,Drug-induced death rate
Charles,11.1,All races/ethnicities (aggregated),2010-2012,Drug-induced death rate
Dorchester,,All races/ethnicities (aggregated),2010-2012,Drug-induced death rate
Frederick,10.9,All races/ethnicities (aggregated),2010-2012,Drug-induced death rate
Garrett,,All races/ethnicities (aggregated),2010-2012,Drug-induced death rate
Harford,17.1,All races/ethnicities (aggregated),2010-2012,Drug-induced death rate
Howard,8.6,All races/ethnicities (aggregated),2010-2012,Drug-induced death rate
Kent,,All races/ethnicities (aggregated),2010-2012,Drug-induced death rate
Montgomery,4.7,All races/ethnicities (aggregated),2010-2012,Drug-induced death rate
Prince George's,5.6,All races/ethnicities (aggregated),2010-2012,Drug-induced death rate
Queen Anne's,,All races/ethnicities (aggregated),2010-2012,Drug-induced death rate
Saint Mary's,9.8,All races/ethnicities (aggregated),2010-2012,Drug-induced death rate
Somerset,,All races/ethnicities (aggregated),2010-2012,Drug-induced death rate
Talbot,,All races/ethnicities (aggregated),2010-2012,Drug-induced death rate
Washington,13.5,All races/ethnicities (aggregated),2010-2012,Drug-induced death rate
Wicomico,14.9,All races/ethnicities (aggregated),2010-2012,Drug-induced death rate
Worcester,,All races/ethnicities (aggregated),2010-2012,Drug-induced death rate
State,9.1,Black Non-Hispanic,2010-2012,Drug-induced death rate
Allegany,,Black Non-Hispanic,2010-2012,Drug-induced death rate
Anne Arundel,,Black Non-Hispanic,2010-2012,Drug-induced death rate
Baltimore City,23.0,Black Non-Hispanic,2010-2012,Drug-induced death rate
Baltimore County,8.8,Black Non-Hispanic,2010-2012,Drug-induced death rate
Calvert,,Black Non-Hispanic,2010-2012,Drug-induced death rate
Caroline,,Black Non-Hispanic,2010-2012,Drug-induced death rate
Carroll,,Black Non-Hispanic,2010-2012,Drug-induced death rate
Cecil,,Black Non-Hispanic,2010-2012,Drug-induced death rate
Charles,,Black Non-Hispanic,2010-2012,Drug-induced death rate
Dorchester,,Black Non-Hispanic,2010-2012,Drug-induced death rate
Frederick,,Black Non-Hispanic,2010-2012,Drug-induced death rate
Garrett,,Black Non-Hispanic,2010-2012,Drug-induced death rate
Harford,,Black Non-Hispanic,2010-2012,Drug-induced death rate
Howard,,Black Non-Hispanic,2010-2012,Drug-induced death rate
Kent,,Black Non-Hispanic,2010-2012,Drug-induced death rate
Montgomery,,Black Non-Hispanic,2010-2012,Drug-induced death rate
Prince George's,3.9,Black Non-Hispanic,2010-2012,Drug-induced death rate
Queen Anne's,,Black Non-Hispanic,2010-2012,Drug-induced death rate
Saint Mary's,,Black Non-Hispanic,2010-2012,Drug-induced death rate
Somerset,,Black Non-Hispanic,2010-2012,Drug-induced death rate
Talbot,,Black Non-Hispanic,2010-2012,Drug-induced death rate
Washington,,Black Non-Hispanic,2010-2012,Drug-induced death rate
Wicomico,,Black Non-Hispanic,2010-2012,Drug-induced death rate
Worcester,,Black Non-Hispanic,2010-2012,Drug-induced death rate
State,2.5,Hispanic,2010-2012,Drug-induced death rate
Allegany,,Hispanic,2010-2012,Drug-induced death rate
Anne Arundel,,Hispanic,2010-2012,Drug-induced death rate
Baltimore City,,Hispanic,2010-2012,Drug-induced death rate
Baltimore County,,Hispanic,2010-2012,Drug-induced death rate
Calvert,,Hispanic,2010-2012,Drug-induced death rate
Caroline,,Hispanic,2010-2012,Drug-induced death rate
Carroll,,Hispanic,2010-2012,Drug-induced death rate
Cecil,,Hispanic,2010-2012,Drug-induced death rate
Charles,,Hispanic,2010-2012,Drug-induced death rate
Frederick,,Hispanic,2010-2012,Drug-induced death rate
Garrett,,Hispanic,2010-2012,Drug-induced death rate
Harford,,Hispanic,2010-2012,Drug-induced death rate
Howard,,Hispanic,2010-2012,Drug-induced death rate
Kent,,Hispanic,2010-2012,Drug-induced death rate
Montgomery,,Hispanic,2010-2012,Drug-induced death rate
Prince George's,,Hispanic,2010-2012,Drug-induced death rate
Queen Anne's,,Hispanic,2010-2012,Drug-induced death rate
Saint Mary's,,Hispanic,2010-2012,Drug-induced death rate
Somerset,,Hispanic,2010-2012,Drug-induced death rate
Talbot,,Hispanic,2010-2012,Drug-induced death rate
Washington,,Hispanic,2010-2012,Drug-induced death rate
Wicomico,,Hispanic,2010-2012,Drug-induced death rate
Worcester,,Hispanic,2010-2012,Drug-induced death rate
State,17.3,White Non-Hispanic,2010-2012,Drug-induced death rate
Allegany,20.1,White Non-Hispanic,2010-2012,Drug-induced death rate
Anne Arundel,17.5,White Non-Hispanic,2010-2012,Drug-induced death rate
Baltimore City,35.9,White Non-Hispanic,2010-2012,Drug-induced death rate
Baltimore County,24.1,White Non-Hispanic,2010-2012,Drug-induced death rate
Calvert,17.3,White Non-Hispanic,2010-2012,Drug-induced death rate
Caroline,31.5,White Non-Hispanic,2010-2012,Drug-induced death rate
Carroll,13.6,White Non-Hispanic,2010-2012,Drug-induced death rate
Cecil,33.0,White Non-Hispanic,2010-2012,Drug-induced death rate
Charles,17.8,White Non-Hispanic,2010-2012,Drug-induced death rate
Dorchester,,White Non-Hispanic,2010-2012,Drug-induced death rate
Frederick,13.7,White Non-Hispanic,2010-2012,Drug-induced death rate
Garrett,,White Non-Hispanic,2010-2012,Drug-induced death rate
Harford,20.1,White Non-Hispanic,2010-2012,Drug-induced death rate
Howard,12.1,White Non-Hispanic,2010-2012,Drug-induced death rate
Kent,,White Non-Hispanic,2010-2012,Drug-induced death rate
Montgomery,7.0,White Non-Hispanic,2010-2012,Drug-induced death rate
Prince George's,20.4,White Non-Hispanic,2010-2012,Drug-induced death rate
Queen Anne's,,White Non-Hispanic,2010-2012,Drug-induced death rate
Saint Mary's,10.8,White Non-Hispanic,2010-2012,Drug-induced death rate
Somerset,,White Non-Hispanic,2010-2012,Drug-induced death rate
Talbot,,White Non-Hispanic,2010-2012,Drug-induced death rate
Washington,15.4,White Non-Hispanic,2010-2012,Drug-induced death rate
Wicomico,19.2,White Non-Hispanic,2010-2012,Drug-induced death rate
Worcester,,White Non-Hispanic,2010-2012,Drug-induced death rate
State,1.8,Asian/ Pacific Islander Non-Hispanic,2010-2012,Drug-induced death rate
Allegany,,Asian/ Pacific Islander Non-Hispanic,2010-2012,Drug-induced death rate
Anne Arundel,,Asian/ Pacific Islander Non-Hispanic,2010-2012,Drug-induced death rate
Baltimore City,,Asian/ Pacific Islander Non-Hispanic,2010-2012,Drug-induced death rate
Baltimore County,,Asian/ Pacific Islander Non-Hispanic,2010-2012,Drug-induced death rate
Calvert,,Asian/ Pacific Islander Non-Hispanic,2010-2012,Drug-induced death rate
Caroline,,Asian/ Pacific Islander Non-Hispanic,2010-2012,Drug-induced death rate
Carroll,,Asian/ Pacific Islander Non-Hispanic,2010-2012,Drug-induced death rate
Cecil,,Asian/ Pacific Islander Non-Hispanic,2010-2012,Drug-induced death rate
Charles,,Asian/ Pacific Islander Non-Hispanic,2010-2012,Drug-induced death rate
Dorchester,,Asian/ Pacific Islander Non-Hispanic,2010-2012,Drug-induced death rate
Frederick,,Asian/ Pacific Islander Non-Hispanic,2010-2012,Drug-induced death rate
Garrett,,Asian/ Pacific Islander Non-Hispanic,2010-2012,Drug-induced death rate
Harford,,Asian/ Pacific Islander Non-Hispanic,2010-2012,Drug-induced death rate
Howard,,Asian/ Pacific Islander Non-Hispanic,2010-2012,Drug-induced death rate
Kent,,Asian/ Pacific Islander Non-Hispanic,2010-2012,Drug-induced death rate
Montgomery,,Asian/ Pacific Islander Non-Hispanic,2010-2012,Drug-induced death rate
Prince George's,,Asian/ Pacific Islander Non-Hispanic,2010-2012,Drug-induced death rate
Queen Anne's,,Asian/ Pacific Islander Non-Hispanic,2010-2012,Drug-induced death rate
Saint Mary's,,Asian/ Pacific Islander Non-Hispanic,2010-2012,Drug-induced death rate
Somerset,,Asian/ Pacific Islander Non-Hispanic,2010-2012,Drug-induced death rate
Talbot,,Asian/ Pacific Islander Non-Hispanic,2010-2012,Drug-induced death rate
Washington,,Asian/ Pacific Islander Non-Hispanic,2010-2012,Drug-induced death rate
Wicomico,,Asian/ Pacific Islander Non-Hispanic,2010-2012,Drug-induced death rate
Worcester,,Asian/ Pacific Islander Non-Hispanic,2010-2012,Drug-induced death rate
State,11.9,All races/ethnicities (aggregated),2009-2011,Drug-induced death rate
Allegany,15.1,All races/ethnicities (aggregated),2009-2011,Drug-induced death rate
Anne Arundel,13.5,All races/ethnicities (aggregated),2009-2011,Drug-induced death rate
Baltimore City,26.7,All races/ethnicities (aggregated),2009-2011,Drug-induced death rate
Baltimore County,16.2,All races/ethnicities (aggregated),2009-2011,Drug-induced death rate
Calvert,14.1,All races/ethnicities (aggregated),2009-2011,Drug-induced death rate
Caroline,,All races/ethnicities (aggregated),2009-2011,Drug-induced death rate
Carroll,11.8,All races/ethnicities (aggregated),2009-2011,Drug-induced death rate
Cecil,27.4,All races/ethnicities (aggregated),2009-2011,Drug-induced death rate
Charles,11.2,All races/ethnicities (aggregated),2009-2011,Drug-induced death rate
Dorchester,,All races/ethnicities (aggregated),2009-2011,Drug-induced death rate
Frederick,9.8,All races/ethnicities (aggregated),2009-2011,Drug-induced death rate
Garrett,,All races/ethnicities (aggregated),2009-2011,Drug-induced death rate
Harford,15.6,All races/ethnicities (aggregated),2009-2011,Drug-induced death rate
Howard,7.7,All races/ethnicities (aggregated),2009-2011,Drug-induced death rate
Kent,,All races/ethnicities (aggregated),2009-2011,Drug-induced death rate
Montgomery,4.8,All races/ethnicities (aggregated),2009-2011,Drug-induced death rate
Prince George's,5.8,All races/ethnicities (aggregated),2009-2011,Drug-induced death rate
Queen Anne's,15.0,All races/ethnicities (aggregated),2009-2011,Drug-induced death rate
Saint Mary's,9.2,All races/ethnicities (aggregated),2009-2011,Drug-induced death rate
Somerset,,All races/ethnicities (aggregated),2009-2011,Drug-induced death rate
Talbot,,All races/ethnicities (aggregated),2009-2011,Drug-induced death rate
Washington,11.6,All races/ethnicities (aggregated),2009-2011,Drug-induced death rate
Wicomico,14.5,All races/ethnicities (aggregated),2009-2011,Drug-induced death rate
Worcester,,All races/ethnicities (aggregated),2009-2011,Drug-induced death rate
State,9.8,Black Non-Hispanic,2009-2011,Drug-induced death rate
Allegany,,Black Non-Hispanic,2009-2011,Drug-induced death rate
Anne Arundel,8.0,Black Non-Hispanic,2009-2011,Drug-induced death rate
